"age","all","musician","singer","actor","athlete","politician","showbiz","author","scientist","cleric","military","resistance","journalist","artist","other"
113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
114,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
116,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
