"x"
"hockeyspieler$"
"tennisspieler$"
"volleyballspieler$"
"handballspieler$"
"billardspieler$"
"rugbyspieler$"
"fussballspieler$"
"fußballspieler$"
"^hockey$"
"^tennis$"
"^volleyball$"
"^handball$"
"^billard$"
"^rugby$"
"^fussball$"
"^fußball$"
