Adiaphon
Aelodicon
Aeoline
Aeolsharfe
Aetherophon
Agogô
Aida-Trompete
Aizai
Ajaeng
Akadinda
Akkordeon
Akkordzither
Akustische Bassgitarre
Albisiphon
Albogue
Alboka
Algaita
Alghoza
Alfaia
Almpfeiferl
Alphorn
Altblockflöte
Althorn
Altklarinette
Altposaune
Altsaxophon
Altzither
Amadinda
Amboss
Amyrga
Anzad
Anemochord
Angelica
Angklung
Ansingtrommel
Apito
Apollonicon
Archicembalo
Archiorgano
Arcicistre
Ardin
Arghul
Armgeige
Arpeggione
Ashiko-Trommel
Askobantoura
Atabaque
Atenteben
Atumpan
Aufschlagröhren
Aulos
Autbòi
Autoharp
Autohupe
Automatophon
Axatse
Bağlama
Baglamas
Bajan
Bajo Sexto
Balaban
Balafon
Balalaika
Ballastsaite
„Bamboo Sax“
Bambussaxophon
Bana
Banam
Bandola
Bandoneon
Bandonika
Bandonion
Bando-Piano
Bandura
Bandurria
Bangwe
Banhu
Banjo
Bansuri
Barbat
Barbitos
Baritonhorn
Baritonsaxophon
Barockoboe
Barockposaune
Barocktrompete
Baryton
Basing Bugisi
Bassbalalaika
Bassblockflöte
Bassdrum
Bassett
Bassetthorn
Bassettklarinette
Bassgambe
Bassgeige
Bassgitarre
Basshorn
Bassklarinette
Basslaute
Bassmandoline
Basspanflöte
Bassposaune
Basssaxophon
Basstrommel
Basstrompete
Basstuba
Bassviola da gamba
Basszither
Bauernleier
Bawu
Bayan
Bechertrommel
Becken
Beganna
Bena
Bendir
Berda
Berimbau
Bersaglieri-Horn
Bettelgeige
Bettlerleier
Bianqing
Bianzhong
Bilûr
Bin
Bin-baja
Binioù
Birkenblatt
Bisernica
Biwa
Blasklavier
Blaswandler
Blockflöte
Blockwerkorgel
Blues Harp
Blul
Blur
Bock
Bodhrán
Bogenguitarre
Bogenharfe
Bogenlaute
Boha
Bombarde
Bombo
Bonang
Bongos
Boomwhacker
Boru
Bouzouki
Bow Chimes
Brač
Braguinha
Bratsche
Breitschelle
Brettgeige
Brettzither
Brummeisen
Brummtopf
Buccin
Büchel
Büchsentrompete
Bucina
Bugarabu
Bugarija
Bügelharfe
Bügelhorn
Buk
Buki
Bumbass
Buschtrommel
Busuki
Byauk
Byzaanchy
Cabasa
Cabrette
Caixa
Caja
Cajón
Calichon
Calung
Campane tubolari
Canun
Carillon
Carnyx
Cartar
Castagnetten
Cavaco
Cavaquinho
Caxixi
Celempung
Celesta
Cello
Cembalo
Çeng
Chalil
Chalumeau
Chalung
Chande
Chang
Changi
Chanot-Violine
Chanter
Chanzy
Chapei dong veng
Chapman Stick
Charango
Chazozra
Chelys
Chenda
Cheng
Chianuri
Chigring
Chimes
Chimta
Ch’in
Ching
Chipendani
Chitarra battente
Chitarra con arco
Chitarrone
Chitravina
Chivoti
Chocalho
Chocolo
Chonguri
Chroma-Concertina
Chromatiphon
Chrotta
Chuniri
Çiftelia
Çifte
Cilimba
Cimbalom
Cimbasso
Cister
Cistre
Cithara Anglica
Cither
Citole
Clairsearch
Clapstick
Clarineau
Clarin
Clarin (Schalmei)
Clavecin
Clavecin électrique
Claves
Clavicembalo
Clavichord
Clavicimbalum
Clavicylinder
Clavi-lame
Clavimusicum omnitonum
Clavinet
Cobză
Codophone
Colascione
Cölestine
Concertina
Conga
Conn-O-Sax
Cornamuse
Cornet
Cornetto Curvo
Corno
Corno da caccia
Cornon
Cornopean
Cornophone
Cornu
Cowbell
Crashbecken
Crembalum
Crotala
Crotales
Crwth
Csakan
Cuatro (Instrument)
Cuica
Cümbüş
Cupa cupa
Cura
Cymbala
Cymbales Antiques
Cymbalum
Cymbel
Da-Daiko
Dabakan
Daira
Đàn bầu
Đàn tranh
Dama
Dammam
Damaru
Dambura
Damburag
Darbuka
Daumenklavier
Davul
Daxophon
Dessus de viole
Dhadd
Dhamsa
Dhanki
Dhimay
Dhol
Dholak
Dhung
Dhyangro
Dichord
Didgeridoo
Digitalpiano
Dilli tüýdük
Dilruba
Diple
Diplipito
Disklavier
Dizi
Djembé
Dobachi
Dobro
Doli
Dolzflöte
Dombora
Dombra
Domra
Doneli
Donnertrommel
Doppelbass
Doppelblockflöte
Doppelhorn
Doppelpedalharfe
Doppelzither
Doshpuluur
Dotar
Doucemelle
Doundoun
Dran-nye
Drymba
Drehleier
Drehorgel
Duda
Dudelsack
Duduk
Duggi
Dulce melos
Dulcema
Dulcimer
Dulcitone
Dulzian
Dundun
Dung
Dwojanka
Dzoura
E-Bass
E-Bow
E-Gitarre
E-Kontrabass
Eggshaker
Ektara (Lauteninstrument)
Ektara (Zupftrommel)
Elegiezither
Elektra-Harp
Elektravox
Elektronische Orgel
Englischhorn
Endingidi
Endongo
Englisch Zitterlein
English Guitar
E-Piano
Epigonion
Erdzither
Erhu
Erke
Erkencho
Erxian
Erzlaute
Erzcister
Eselskiefer
Esraj
Euphon
Euphonia
Euphonium
Fadno
Fagott
Fanfarentrompete
Fangufangu
Fangxiang
Feldpfeiff
Fiddle
Fidel oder Fiedel
Fingerklavier
Flageolett
Flautino
Flexaton
Floor-cymbal
Flabiol
Floßzither
Floyera
Fluier
Flügel
Flügelharfe
Flügelhorn
Flutina
Fortepiano
Fourth Flute
