Sportart 	olympisch 	Typ 	Teamgröße 	Ort der Ausübung 	Herkunft/Verbreitung
Casting 	nein 	Präzisionssport 	1 		
Cheerleading 	nein 	Turnsport, Tanzsport, Akrobatik 	2 und mehr 		Vereinigte Staaten
Chinlone 	nein 	Tanzsport, Geschicklichkeitssport 	7 		Myanmar
Combatschießen 	nein 	Schießsport 	1 	Gelände 	
Cricket 	ehemalig (1900) 	Schlagballspiel 	11 	Rasen 	England
Cricko 	nein 	Schlagballspiel 		Rasen 	Australien
Croquet 	ehemalig (1900) 	Präzisionssport 	1 	Rasen 	USA
Crossgolf 	nein 	Präzisionssport 	1 	Gelände, Stadtraum 	
CrossFit 	nein 	Präzisionssport 	alleine oder 2 und mehr 	Box 	
Cubbies 	nein 	Torspiel 	1-2 	Rasen 	Großbritannien, Skandinavien
Curling 	ja (seit 1924*) 	Präzisionssport 	4 	Eis 	Schottland, Kanada
Cyclocross 	nein 	Radsport 	1 	Gelände 	
Dame 	nein 	Denksport 			
Darts 	nein 	Präzisionssport 	1 		
DDC-Frisbee 	nein 	Rückschlagspiel 	2 		
Discdogging 	nein 	Tiersport 	1 		
Discgolf 	nein 	Präzisionssport 	1 	Außenanlage 	
Diskuswurf 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Distanzreiten 	nein 	Tiersport (Pferdesport) 	1 	Gelände 	
Dodgeball 	nein 	Fangspiel 	3 und mehr 	Hartbelag 	Vereinigte Staaten
Dogdancing 	nein 	Tiersport, Tanzsport 			Vereinigte Staaten
Dogging (Sport) 	nein 	Tiersport 	1 		
Downhill 	nein 	Radsport 	1 	Gelände 	
Drachenboot 	nein 	Bootssport 	10-50 	Wasser 	China
Drachensteigen 	nein 		1 und mehr 	Luft (vom Boden aus) 	
Drag Racing 	nein 	Motorsport 			
Dreisprung 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Dressurreiten 	ja (seit 1912) 	Tiersport (Pferdesport) 	1 	Anlage 	
Duathlon 	nein 	Mehrkampfsport 	1 	Straße 	
Eierlaufen 	nein 	Geschwindigkeitssport, Geschicklichkeitssport 	1 	Rasen 	
Einradbasketball 	nein 	Radsport, Torspiel 	5 	Hartbelag 	
Einradhockey 	nein 	Radsport, Torspiel 	5 	Hartbelag 	Deutschland
Eisfreestyle 	nein 	Skating 		Eis 	Frankreich
Eishockey unter Eis 	nein 	Torspiel 	2 	Wasser 	Österreich[1]
Eishockey 	ja (seit 1920) 	Torspiel 	6 	Eis 	Ontario, Russland
Eisklettern 	nein 	Bergsport 		vereister Wasserfall, Anlage 	
Eiskunstlauf 	ja (seit 1908) 	Tanzsport, Akrobatik 	1-2 	Eis 	Großbritannien
Eisschnelllauf 	ja (seit 1924) 	Geschwindigkeitssport 	1 	Eis 	
Eisspeedway 	nein 	Motorsport 	1 	Eis 	
Eisstockschiessen 	nein 	Präzisionssport 	4 	Eis/ Asphalt 	Skandinavien
Electric Boogie 	nein 	Tanzsport 	1 und mehr 		Kalifornien
Elefantenpolo 	nein 	Tiersport, Torspiel 	4 	Rasen 	
Elektrorollstuhl-Hockey 	nein 	Torspiel, Rollstuhlsport 	5 	Halle 	Niederlande
E-Sport 	nein 	Denksport 	1 oder mehr 	Computer/Konsole 	
Eurodance (Dancefloor) 	nein 	Tanzsport 	1 und mehr 		Europa
Extrembügeln 	nein 	Extremsport, Skurrilsport 			
Fahrsport 	nein 	Tiersport (Pferdesport) 			
Falknerei 	nein 	Jagdsport, Tierwettkampf 		Luft 	Asien
Skydiving (Fallschirmspringen) 	nein 	Springen 	1-2 	Luft 	
Faustball 	nein 	Rückschlagspiel 	5 	Rasen, Hartbelag 	Italien
Faustkampf (Pygme) 	antik 	Kampfsport 	1 		Griechenland, Antike
Fechten 	ja (seit 1896) 	Kampfsport 	1 	Fechtbahn 	
Federball 	nein 	Rückschlagspiel 	2 	Rasen,... 	
Federfußball 	nein 	Rückschlagspiel 	3 	Hartbelag 	Südostasien
Felderrennen 	nein 	Fangspiel 	5 	Rasen 	Deutschland
Feldhandball 	ehemalig (1936) 	Torspiel 	11 	Rasen 	Deutschland
Feldkorbball 	nein 	Torspiel 	7 	Rasen, Hartbelag 	Deutschland (nur noch in Bayern verbreitet)
Fingerboarding 	nein 	Geschicklichkeitssport, Skating 	1 	Tisch 	
Fingerhakeln 	nein 	Kraftsport 	1 	Tisch 	Bayern, Österreich
Fives 	nein 	Rückschlagspiel 	1-2 	Hartbelag 	England
Flag Football 	nein 	Torspiel 	5-9 	Rasen 	
Flamenco 	nein 	Tanzsport 	1 und mehr 		Andalusien
Floorball 	nein 	Torspiel 	5 	Hartbelag 	Skandinavien
Flossenschwimmen 	nein 	Geschwindigkeitssport 	1 	Wasser 	
Flugmodellsport 	nein 	Modellsport 		Luft (vom Boden aus) 	
Footbag (Hacky Sack) 	nein 	Akrobatik 	1 und mehr 		
Footvolley 	nein 	Rückschlagspiel 	2 	Beach 	
Formelsport 	nein 	Motorsport 	1 	Rennstrecke 	
Freestyle Frisbee 	nein 	Geschicklichkeitssport 	2-3 		
Freestyle-Skiing 	ja (seit 1992) 	Akrobatik 	1 	Schnee 	
Freiklettern 	nein 	Klettern, Natursport 	1 	Gelände, Halle 	
Friskee 	nein 	Torspiel 	3 und mehr 	Rasen 	
Fuchsjagd 	nein 	Jagdsport, Pferdesport 		Gelände 	
Fußball 	ja (seit 1900**) 	Torspiel 	11 	Rasen/Kunstrasen/Halle 	England
Fußballtennis 	nein 	Rückschlagspiel 	1-3 	Hartbelag 	
Futsal 	nein 	Torspiel 	5 	Hartbelag 	Brasilien
Gaelic Football 	nein 	Torspiel 	15 	Rasen 	Irland
Garde- und Schautanz 	nein 	Tanzsport 	2 und mehr 		Europa
Gateball 	nein 	Präzisionssport 	5 	Hartbelag 	Japan
Gedächtnissport 	nein 	Denksport 			
Gehen 	ja (seit 1932) 	Leichtathletik 	1 	Straße 	
Geocaching 	nein 	Natursport 		Gelände 	USA
Gerätturnen 	ja (seit 1896) 	Turnsport, Akrobatik 	1 		
Gewichtheben 	ja (seit 1896*) 	Kraftsport 	1 		
Gleitschirmfliegen 	nein 	Fliegen 	1-2 	Luft 	
Go 	nein 	Denksport 	2 		
Goalball 	nein 	Torspiel 		Halle 	
Golf 	ehemalig (seit 1900*) 	Präzisionssport 	1 	Außenanlage 	Schottland
Gorodki 	nein 	Präzisionssport 	1 oder mehr 		Russland
Grasski 	nein 	Geschwindigkeitssport 	1 	Gras 	
Gummistiefelweitwurf 	nein 	Werfen 	1 		Finnland
Guts 	nein 	Geschicklichkeitssport 	5 	Rasen 	
Gymnastik 	nein 	Turnsport 		Matte 	
Hahnenkampf 	nein 	Tierwettkampf 			
Hallenfußball 	nein 	Torspiel 		Hartbelag 	
Hallenhockey 	nein 	Torspiel 	6 	Hartbelag 	Mittel- und Osteuropa
Hallenkorbball 	nein 	Torspiel 	5 	Halle 	Deutschland
Hammerwurf 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Handball 	ja (seit 1936*) 	Torspiel 	7 	Hartbelag 	Deutschland, Schweden
Hindernislauf 	ja (seit 1896) 	Leichtathletik 	1 	Rennbahn 	
