Sportart 	olympisch 	Typ 	Teamgröße 	Ort der Ausübung 	Herkunft/Verbreitung
Shinty 	nein 	Torspiel 	12 	Rasen 	Schottland
Shōgi 	nein 	Denksport 	1 	Tisch 	Japan
Shorttrack 	ja (seit 1992) 	Geschwindigkeitssport 	1 	Eis 	
Shuffleboard 	nein 	Präzisionssport 	1 		
Sitzball 	nein 	Rückschlagspiel 	5 	Hartbelag 	
Sitzfußball 	nein 	Torspiel 		Hartbelag 	
Sitzvolleyball 	nein 	Rückschlagspiel 		Hartbelag 	
Skat 	nein 	Denksport 	3 und mehr 	Tisch 	Deutschland
Skateboarding 	nein 	Brettsport, Akrobatik 	1 	Stadt 	Vereinigte Staaten
Skeleton 	ja (seit 1928*) 	Schlittensport 	1 	Eis 	
Ski Alpin (Abfahrtslauf, Super-G, Slalom & Riesenslalom) 	ja (seit 1936) 	Geschwindigkeitssport 	1 	Schnee 	
Ski Nordisch 	ja (seit 1924) 		1 	Schnee 	Skandinavien
Skibergsteigen 	nein 	Brettsport, Natursport 	1 und mehr 	Schnee 	Schweiz, Österreich, Deutschland
Skijöring 	nein 	Schlittensport 		Schnee 	Skandinavien
Skilanglauf 	ja (seit 1924) 	Geschwindigkeitssport 	1 	Schnee 	Skandinavien
Skimboarden 	nein 	Brettsport 	1 	Wasser 	
Skispringen 	ja (seit 1924) 	Springen 	1 	Schnee 	Skandinavien
Skwal 	nein 	Brettsport 	1 	Schnee 	
Slackline 	nein 	Akrobatik 	1 		
Slamball 	nein 	Torspiel 	4 	Hartbelag 	Vereinigte Staaten
Sledge-Eishockey 	nein 	Torspiel 		Eis 	Schweden
Smashball 	nein 	Rückschlagspiel 		Hartbelag 	
Smolball 	nein 	Torspiel 	4 		Polen, Schweiz
Snooker 	nein 	Präzisionssport 	2 	Tisch 	Vereinigtes Königreich
Snowboard 	ja (seit 1998) 	Brettsport 	1 	Schnee 	Vereinigte Staaten
Snowkiting 	nein 	Drachensport, Brettsport 	1 	Schnee 	
Soccergolf 	nein 	Präzisionssport 	1 	Rasen 	
Softball 	ehemalig (von 1996 bis 2008) 	Schlagballspiel 	9 	Rasen 	Vereinigte Staaten
Speckbrett 	nein 	Rückschlagspiel 	1-2 	Sand 	Münsterland
Speed Flying 	nein 	Fliegen 	1 	Schnee, Luft 	
Speed Badminton 	nein 	Rückschlagspiel 	1 	Hartbelag 	
Speedklettern 	nein 	Klettern 	1 	Halle, Gelände 	
Speerwurf 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Sport Stacking 	nein 	Geschicklichkeitssport 	1-4 	Tisch 	Vereinigte Staaten
Sportklettern 	nein 	Klettern, Natursport 	1 	Anlage, Gelände 	
Schießen 	ja (seit 1896*) 	Präzisionssport, Schießsport 	3 bzw. 5 	Anlage 	
Sportwagenrennen 	nein 	Motorsport 	1-3 	Rennstrecke 	
Springreiten 	ja (seit 1900*) 	Tiersport (Pferdesport) 	1 	Anlage 	
Sprint 	ja (seit 1896) 	Leichtathletik 	1 	Rennbahn 	
Square Dance 	nein 	Tanzsport 	8 und mehr 		Vereinigte Staaten
Squash 	nein 	Rückschlagspiel 	1-2 	Hartbelag 	England
Stabhochsprung 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Stadionlauf 	nein 	Geschwindigkeitssport 	1 		Antike
Staffellauf 	ja (seit 1912) 	Leichtathletik 	4 	Rennbahn 	
Standardtanz 	nein 	Tanzsport 	2 	Parkett 	
Stehpaddeln 	nein 	Bootssport, Brettsport 	1 	Wasser 	Hawaii
Steinstoßen 	nein 	Kraftsport, Werfen 	1 	Rasen 	
Steinwerfen 	nein 	Werfen 	1 		
Stepptanz 	nein 	Tanzsport 	1 und mehr 		Vereinigte Staaten
Stierkampf 	nein 	Kampfsport, Jagdsport 			Spanien
Stockball 	nein 	Torspiel 	20 und mehr 		Amerika (indianisch)
Stockschießen 	nein 	Präzisionssport 	1-4 	Eis 	
Stoolball 	nein 	Schlagballspiel 	11 	Rasen 	Südengland
Strandsegeln 	nein 				
Straßenfußball 	nein 	Torspiel 	2 und mehr 	Hartbelag 	
Straßenrennen 	ja (seit 1896*) 	Radsport 	1 	Straße 	
Streetball 	nein 	Torspiel 	3 	Hartbelag 	
Streethockey 	nein 	Torspiel 	4-6 	Hartbelag 	
Subbuteo 	nein 	Präzisionsspiel, Torspiel 	1 (4) 	Tisch 	England
Sudoku 	nein 	Denksport 			
Surf Ski 	nein 	Bootssport 	1 	Wasser 	
Swingolf 	nein 	Präzisionssport 	1 	Außenanlage 	Frankreich
Sumō 	nein 	Kampfsport 	1 	Ring 	Japan
Synchroneiskunstlauf 	nein 	Tanzsport, Akrobatik 	12-20 	Eis 	Nordamerika, Skandinavien
Synchronschwimmen 	ja (seit 1984) 	Turnsport, Tanzsport 	1-8 	Wasser 	
Tae Bo 	nein 	Turnsport 			
Taekwondo 	ja (seit 2000) 	Kampfsport 	1 	Matte 	Korea
Tag Rugby 	nein 	Torspiel 	7 	Rasen 	
Taiji Bailong Ball 	nein 	Turnsport 	1 und mehr 		China
Tamburello 	nein 	Rückschlagspiel 	5 	Hartbelag 	Italien
Tanzsport (Turniertanz) 	nein 	Tanzsport 	2 	Halle 	
Taubenschießen 	nein 	Jagdsport, Schießsport 			Europa
Tauchen 	nein 	Tauchsport, Natursport 		Wasser 	
Tauziehen 	ehemalig (von 1900 bis 1920) 	Kraftsport 	6-8 	Rasen, seltener Halle 	
Tchoukball 	nein 	Torspiel 	2-12 	Halle 	Schweiz, Taiwan
TeamGym 	nein 	Turnsportart 	6-12 	Halle 	Skandinavien
Tennis 	ja (seit 1896*) 	Rückschlagspiel 	1-2 	Hartbelag, Rasen, Kunstrasen, Sand, Teppich, Teppich mit Granulat 	England
Tipp-Kick 	nein 	Präzisionsspiel, Torspiel 	1 	Tisch 	
Tischeishockey 	nein 	Torspiel 	1 	Tisch 	
Tischfußball 	nein 	Torspiel 	1-2 	Tisch 	
Tischtennis 	ja (seit 1988) 	Rückschlagspiel 	1-2 	Tisch 	England
Toboggan 	nein 	Schlittensport 		Schnee 	Amerika (indianisch)
Torball 	nein 	Torspiel 	3 	Hartbelag 	
Touch (Sport) 	nein 	Torspiel 	6 	Rasen 	Australien
Tourenwagen 	nein 	Motorsport 	1-4 	Rennstrecke 	
Tractor Pulling 	nein 	Motorsport 			
Trampolinturnen 	ja (seit 2000) 	Turnsport, Akrobatik 	1 		
Trekking 	nein 	Natursport 		Gelände 	
Tretrollersport 	nein 	Ausdauersport 	1 und mehr 	Straße 	Niederlande, Finnland, Tschechien
Tretze 	nein 	Geschicklichkeitssport 	3 und mehr 		
Trials 	nein 	Radsport 	1 	Gelände 	
Triathlon 	ja (seit 2000) 	Mehrkampfsport 	1 	Straße, Wasser 	
Truck-Grand-Prix 	nein 	Motorsport 	1 	Rennstrecke 	
Tumbling 	nein 	Turnsport, Akrobatik 	1 	Halle 	
Twirling 	nein 	Tanzsport 			Vereinigte Staaten
Ulama (Ballspiel) 	nein 	Torspiel 			Amerika (indianisch)
Ultimate 	nein 	Torspiel 	7 	Rasen 	
Unihockey 	nein 	Torspiel 	4-6 	Hartbelag 	Skandinavien, Schweiz
Unterwasserhockey 	nein 	Torspiel 	6 	Wasser 	
Unterwasserrugby 	nein 	Torspiel 	6 	Wasser 	Deutschland
Urban Exploration 	nein 	Geländesport 	mind. 2 	urbanes Gelände 	
Urban Freeride 	nein 	Radsport 	1 	Straße 	
Vielseitigkeitsprüfung (Angeln) 	nein 	Präzisionssport 	3 	Anlage + Wasser 	
Vielseitigkeitsreiten (Military) 	ja (seit 1912) 	Tiersport (Pferdesport) 	1 	Anlage 	
Vierkampf 		Tiersport (Pferdesport) 	4 	Anlage + Wasser 	
Vigoro 	nein 	Schlagballspiel 		Rasen 	Australien
Völkerball 	nein 	Fangspiel 	3 und mehr 	Hartbelag 	Europa
Volkstanz 	nein 	Tanzsport 			
Volleyball 	ja (seit 1964) 	Rückschlagspiel 	6 	Hartbelag 	Massachusetts
Volleyclub 	nein 	Rückschlagspiel, Akrobatik 	2-3 		
Voltigieren 	ehemalig (1920) 	Tiersport (Pferdesport), Turnsport 	1, 2, 6 oder 8 	Halle, (Außenanlage) 	Europa
Waffenlauf 	nein 	Laufsport 	1 	Straße 	Schweiz
Wagenrennen 	nein 	Tiersport (Pferdesport) 	1 		Antike
Wakeboarding 	nein 	Brettsport 	1 	Wasser 	
Wandern 	nein 	Natursport 		Gelände 	
Wanderreiten 	nein 	Tiersport (Pferdesport), Natursport 		Gelände 	
Wasserball 	ja (seit 1900*) 	Torspiel 	7 	Wasser 	England
Wasserfahren 	nein 	Bootssport 	1-2 	Wasser 	Schweiz
Wasserski 	nein 	Brettsport 	1 	Wasser 	
Weitsprung 	ja (seit 1896) 	Leichtathletik 	1 	Außenanlage 	
Wellenreiten 	nein 	Brettsport, Natursport 	1 	Wasser 	Hawaii
Westernreiten 	nein 	Tiersport (Pferdesport), Natursport 		Gelände 	
Windsurfen 	ja (seit 1984) 	Brettsport, Natursport 	1 	Wasser 	Vereinigte Staaten
Wing Tsun 	nein 	Kampfsport 	1 		China
Wokfahren 	nein 	Schlittensport 	1-4 	Eis 	Deutschland
Wurfscheibenschießen 	ja 	Schießsport 	1 	Gelände 	
Jo-Jo 	nein 	Geschicklichkeitssport 	1 		
Yoga 	nein 	Geschicklichkeitssport 	1 		
Zehnkampf, Siebenkampf 	ja (seit 1896) 	Leichtathletik, Mehrkampfsport 	1 	Außenanlage 	
Zwergenwerfen 	nein 	Werfen 	2 		Australien, Vereinigte Staaten
